SETTLEMENTDATE,start_date,end_date,TOTALDEMAND,Is_Workday,Is_Aus_Holiday,Min Temp (K),Max Temp (K),Max Wind Speed (m/s),Afternoon Humidity,Afternoon Pressure,Morning Temp,Afternoon Temp,causal_events
2019-01-01 05:00:00,2019-01-01 05:00:00,2019-01-01 05:29:59,6198.13,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 05:30:00,2019-01-01 05:30:00,2019-01-01 05:59:59,6241.44,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 06:00:00,2019-01-01 06:00:00,2019-01-01 06:29:59,6290.89,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 06:30:00,2019-01-01 06:30:00,2019-01-01 06:59:59,6415.2,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,"[{""text"": ""Sydney New Year’s Eve fireworks and associated large-scale celebrations at Sydney Harbour drew ~1.5 million spectators and involved extended public lighting/pyrotechnics on the harbour foreshore."", ""category"": ""Soc_Calendar"", ""scope"": ""Local_Point"", ""type"": ""Fact"", ""relevance_score"": 5, ""publication_time"": ""2019-01-01 06:32:00"", ""justification"": ""Major city New Year’s Eve event concentrates evening hospitality, lighting and temporary power usage in Sydney harbour precinct, causing a localized uplift in demand."", ""source"": ""https://www.news.com.au/lifestyle/real-life/news-life/major-cities-around-the-world-welcome-2019/news-story/5fc87f64bd7fc0f6658d381f3d1d4992""}]"
2019-01-01 07:00:00,2019-01-01 07:00:00,2019-01-01 07:29:59,6508.09,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 07:30:00,2019-01-01 07:30:00,2019-01-01 07:59:59,6749.01,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 08:00:00,2019-01-01 08:00:00,2019-01-01 08:29:59,6920.99,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 08:30:00,2019-01-01 08:30:00,2019-01-01 08:59:59,7208.88,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 09:00:00,2019-01-01 09:00:00,2019-01-01 09:29:59,7441.69,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 09:30:00,2019-01-01 09:30:00,2019-01-01 09:59:59,7711.7,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 10:00:00,2019-01-01 10:00:00,2019-01-01 10:29:59,7995.99,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 10:30:00,2019-01-01 10:30:00,2019-01-01 10:59:59,8241.91,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 11:00:00,2019-01-01 11:00:00,2019-01-01 11:29:59,8448.3,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 11:30:00,2019-01-01 11:30:00,2019-01-01 11:59:59,8662.51,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 12:00:00,2019-01-01 12:00:00,2019-01-01 12:29:59,8903.65,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 12:30:00,2019-01-01 12:30:00,2019-01-01 12:59:59,9098.25,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 13:00:00,2019-01-01 13:00:00,2019-01-01 13:29:59,9261.03,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 13:30:00,2019-01-01 13:30:00,2019-01-01 13:59:59,9438.9,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 14:00:00,2019-01-01 14:00:00,2019-01-01 14:29:59,9618.07,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 14:30:00,2019-01-01 14:30:00,2019-01-01 14:59:59,9761.39,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 15:00:00,2019-01-01 15:00:00,2019-01-01 15:29:59,9932.58,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,"[{""text"": ""Severe thunderstorms and lightning in Sydney damaged overhead wiring and signalling at Central Station and across multiple Sydney Trains lines (T1, T2, T3, T4, T8), causing prolonged train suspensions, cancellations and large crowd-holding."", ""category"": ""Env_Disaster"", ""scope"": ""Local_Point"", ""type"": ""Fact"", ""relevance_score"": 5, ""publication_time"": ""2019-01-01 15:27:00"", ""justification"": ""Storm/lightning caused physical damage to electric rail infrastructure (overhead wiring and signalling) producing sustained suspension of electric train services across multiple Sydney lines; this directly reduces traction electricity demand while shifting travel behaviour (alternative transport, delayed travel) and increasing localized operational loads (lighting, station HVAC, repair crews), so it has a measurable short-term impact on NSW electricity demand patterns."", ""source"": ""https://www.news.com.au/national/nsw-act/news/sydney-rail-chaos-extends-into-new-years-day-with-the-premier-vowing-no-refunds/news-story/3adb607d8f2d095e27291d439cea4fdb""}]"
2019-01-01 15:30:00,2019-01-01 15:30:00,2019-01-01 15:59:59,10088.02,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 16:00:00,2019-01-01 16:00:00,2019-01-01 16:29:59,10242.97,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 16:30:00,2019-01-01 16:30:00,2019-01-01 16:59:59,10398.45,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 17:00:00,2019-01-01 17:00:00,2019-01-01 17:29:59,10562.71,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 17:30:00,2019-01-01 17:30:00,2019-01-01 17:59:59,10612.81,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 18:00:00,2019-01-01 18:00:00,2019-01-01 18:29:59,10522.14,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 18:30:00,2019-01-01 18:30:00,2019-01-01 18:59:59,10333.52,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 19:00:00,2019-01-01 19:00:00,2019-01-01 19:29:59,10063.53,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,"[{""text"": ""New Year’s Eve celebrations across NSW generated large crowds and over 2,500 paramedic calls in the state, reflecting widespread nighttime activity and events that increase temporary entertainment and public-venue electricity demand."", ""category"": ""Soc_Calendar"", ""scope"": ""State_Wide"", ""type"": ""Fact"", ""relevance_score"": 4, ""publication_time"": ""2019-01-01 19:24:00"", ""justification"": ""NYE is a calendar-driven event (public celebration) that concentrates residential and commercial/entertainment loads at night across NSW; high reported attendance and incidents imply elevated temporary demand."", ""source"": ""https://www.news.com.au/national/crime/australia-rings-in-new-year-with-spate-of-violence/news-story/0cf8ca65fef74383f56acef7c40f2618""}]"
2019-01-01 19:30:00,2019-01-01 19:30:00,2019-01-01 19:59:59,9801.12,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 20:00:00,2019-01-01 20:00:00,2019-01-01 20:29:59,9696.41,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 20:30:00,2019-01-01 20:30:00,2019-01-01 20:59:59,9474.14,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 21:00:00,2019-01-01 21:00:00,2019-01-01 21:29:59,9220.31,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 21:30:00,2019-01-01 21:30:00,2019-01-01 21:59:59,8956.15,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 22:00:00,2019-01-01 22:00:00,2019-01-01 22:29:59,8574.7,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 22:30:00,2019-01-01 22:30:00,2019-01-01 22:59:59,8412.75,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 23:00:00,2019-01-01 23:00:00,2019-01-01 23:29:59,8118.29,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 23:30:00,2019-01-01 23:30:00,2019-01-01 23:59:59,7839.53,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-02 00:00:00,2019-01-02 00:00:00,2019-01-02 00:29:59,7633.77,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 00:30:00,2019-01-02 00:30:00,2019-01-02 00:59:59,7361.0,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 01:00:00,2019-01-02 01:00:00,2019-01-02 01:29:59,7136.01,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 01:30:00,2019-01-02 01:30:00,2019-01-02 01:59:59,6840.9,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 02:00:00,2019-01-02 02:00:00,2019-01-02 02:29:59,6624.94,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 02:30:00,2019-01-02 02:30:00,2019-01-02 02:59:59,6481.67,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 03:00:00,2019-01-02 03:00:00,2019-01-02 03:29:59,6426.5,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 03:30:00,2019-01-02 03:30:00,2019-01-02 03:59:59,6431.29,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 04:00:00,2019-01-02 04:00:00,2019-01-02 04:29:59,6466.94,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 04:30:00,2019-01-02 04:30:00,2019-01-02 04:59:59,6616.06,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 05:00:00,2019-01-02 05:00:00,2019-01-02 05:29:59,6686.19,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 05:30:00,2019-01-02 05:30:00,2019-01-02 05:59:59,6963.81,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 06:00:00,2019-01-02 06:00:00,2019-01-02 06:29:59,7234.55,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 06:30:00,2019-01-02 06:30:00,2019-01-02 06:59:59,7545.75,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 07:00:00,2019-01-02 07:00:00,2019-01-02 07:29:59,7819.46,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 07:30:00,2019-01-02 07:30:00,2019-01-02 07:59:59,8102.21,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,"[{""text"": ""Sydney New Year’s Eve fireworks drew tens of thousands to Sydney Harbour, creating a large, concentrated event that shifts electricity consumption patterns in the CBD (lighting, hospitality, transport hubs, and increased TV/broadcasting load for people who missed cruises)."", ""category"": ""Soc_Calendar"", ""scope"": ""Local_Point"", ""type"": ""Fact"", ""relevance_score"": 7, ""publication_time"": ""2019-01-02 07:52:00"", ""justification"": ""NYE is a deterministic calendar event with large concentrated attendance in Sydney Harbour that produces predictable spikes and altered temporal demand profiles for NSW CBD/local networks."", ""source"": ""https://www.news.com.au/finance/money/costs/nye-group-furious-after-sydney-train-delays-cost-them-5000/news-story/21b80a2bd81c394a48c3bf3208800d83""}, {""text"": ""A severe thunderstorm with lightning strikes caused widespread signal failures across Sydney Trains on New Year’s Eve, producing extensive delays and abnormal station/transport system utilization."", ""category"": ""Env_Disaster"", ""scope"": ""State_Wide"", ""type"": ""Fact"", ""relevance_score"": 6, ""publication_time"": ""2019-01-02 07:52:00"", ""justification"": ""Lightning-induced infrastructure failures are an extreme weather event disrupting transport operations; such events can alter demand timing (people stranded, increased hotel/TV use) and risk localized electrical issues."", ""source"": ""https://www.news.com.au/finance/money/costs/nye-group-furious-after-sydney-train-delays-cost-them-5000/news-story/21b80a2bd81c394a48c3bf3208800d83""}]"
2019-01-02 08:00:00,2019-01-02 08:00:00,2019-01-02 08:29:59,8342.44,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 08:30:00,2019-01-02 08:30:00,2019-01-02 08:59:59,8582.59,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 09:00:00,2019-01-02 09:00:00,2019-01-02 09:29:59,8781.68,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 09:30:00,2019-01-02 09:30:00,2019-01-02 09:59:59,8959.65,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 10:00:00,2019-01-02 10:00:00,2019-01-02 10:29:59,9173.43,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 10:30:00,2019-01-02 10:30:00,2019-01-02 10:59:59,9426.85,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 11:00:00,2019-01-02 11:00:00,2019-01-02 11:29:59,9619.04,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,"[{""text"": ""Sydney Test cricket match at the SCG (Australia v India) is imminent; selection news and squad changes reported on the eve of the Sydney Test."", ""category"": ""Soc_Calendar"", ""scope"": ""Local_Point"", ""type"": ""Prediction"", ""relevance_score"": 4, ""publication_time"": ""2019-01-02 11:18:00"", ""justification"": ""A major scheduled sporting event in Sydney will draw large crowds and shift local residential/commercial load (lighting, transport, concessions), creating a measurable but localized demand uplift in NSW."", ""source"": ""https://www.news.com.au/sport/cricket/australia-vs-india-joe-burns-and-co-snubbed-for-test-recall/news-story/2d061dc9bf871ebcd533c743f54ad737""}]"
2019-01-02 11:30:00,2019-01-02 11:30:00,2019-01-02 11:59:59,9802.56,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,"[{""text"": ""Falls Festival at Byron Bay (NSW) ran over New Year’s Eve with around 20,000 attendees, increasing local electricity consumption for onsite lighting, sound systems, vendor operations and elevated cooling needs."", ""category"": ""Soc_Calendar"", ""scope"": ""Local_Point"", ""type"": ""Fact"", ""relevance_score"": 4, ""publication_time"": ""2019-01-02 11:49:00"", ""justification"": ""Large, scheduled multi-day festival concentrates thousands of people and temporary loads (lighting, PA, vendors, cooling), producing a measurable short-term uplift in local demand."", ""source"": ""https://www.news.com.au/lifestyle/fashion/festivalgoers-strip-down-to-essentials-for-falls-festival/news-story/fe9ed2355829b6e2f9d5a12d0f3e865f""}]"
2019-01-02 12:00:00,2019-01-02 12:00:00,2019-01-02 12:29:59,10005.07,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,"[{""text"": ""Severe storm and electrical storms on New Year’s Eve caused major Sydney train network failures with cancelled services, overcrowded platforms and system meltdowns."", ""category"": ""Env_Disaster"", ""scope"": ""Local_Point"", ""type"": ""Fact"", ""relevance_score"": 4, ""publication_time"": ""2019-01-02 12:12:00"", ""justification"": ""Storms caused transport infrastructure failures in Sydney; extreme weather can damage infrastructure, trigger emergency and recovery operations and produce short-term shifts in residential/commercial electricity use."", ""source"": ""https://www.news.com.au/lifestyle/real-life/sydney-is-over-from-glittering-world-city-to-sad-and-chaotic-wasteland-what-went-wrong/news-story/c517ede8701bedb4119d2caf173e7907""}]"
2019-01-02 12:30:00,2019-01-02 12:30:00,2019-01-02 12:59:59,10136.4,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 13:00:00,2019-01-02 13:00:00,2019-01-02 13:29:59,10342.06,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 13:30:00,2019-01-02 13:30:00,2019-01-02 13:59:59,10521.07,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 14:00:00,2019-01-02 14:00:00,2019-01-02 14:29:59,10716.78,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 14:30:00,2019-01-02 14:30:00,2019-01-02 14:59:59,10942.52,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 15:00:00,2019-01-02 15:00:00,2019-01-02 15:29:59,10901.94,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 15:30:00,2019-01-02 15:30:00,2019-01-02 15:59:59,10754.86,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 16:00:00,2019-01-02 16:00:00,2019-01-02 16:29:59,10724.06,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 16:30:00,2019-01-02 16:30:00,2019-01-02 16:59:59,10498.18,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 17:00:00,2019-01-02 17:00:00,2019-01-02 17:29:59,10434.63,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 17:30:00,2019-01-02 17:30:00,2019-01-02 17:59:59,10252.5,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 18:00:00,2019-01-02 18:00:00,2019-01-02 18:29:59,10187.44,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 18:30:00,2019-01-02 18:30:00,2019-01-02 18:59:59,9940.76,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 19:00:00,2019-01-02 19:00:00,2019-01-02 19:29:59,9693.76,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,"[{""text"": ""National forecast of a record 10 million international visitors in 2019, with New South Wales receiving ~37% of arrivals; tourism-driven increases in hotel, retail and transport activity likely to raise electricity demand in NSW."", ""category"": ""Soc_Economic"", ""scope"": ""National_NEM"", ""type"": ""Prediction"", ""relevance_score"": 4, ""publication_time"": ""2019-01-02 19:01:00"", ""justification"": ""National tourism growth explicitly highlights NSW as the largest destination (37% share), implying elevated commercial and residential load from hospitality, transport and cooling demand; described as an expectation."", ""source"": ""https://www.news.com.au/travel/a-record-10-million-foreign-visitors-expected-to-hit-australia-this-year-in-good-news-for-the-economy/news-story/c93be9afd23e69423d719cbe0a8b15d1""}]"
2019-01-02 19:30:00,2019-01-02 19:30:00,2019-01-02 19:59:59,9558.47,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,"[{""text"": ""Bureau of Meteorology forecasts summer thunderstorms for Sydney and multiple NSW districts with large hail, heavy rainfall, potential flash flooding and damaging winds; a cool change is also expected."", ""category"": ""Env_Disaster"", ""scope"": ""State_Wide"", ""type"": ""Prediction"", ""relevance_score"": 5, ""publication_time"": ""2019-01-02 19:38:00"", ""justification"": ""Forecast severe storms and associated flash flooding/damaging winds across Sydney and other NSW regions present physical risk to network infrastructure (outages) and the anticipated cool change will materially alter cooling demand."", ""source"": ""https://www.news.com.au/technology/environment/natural-wonders/more-hail-on-the-way-as-strange-cloud-formation-seen-above-sydney/news-story/353edf50ad48c5b08badd9f03dfe6709""}]"
2019-01-02 20:00:00,2019-01-02 20:00:00,2019-01-02 20:29:59,9443.96,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 20:30:00,2019-01-02 20:30:00,2019-01-02 20:59:59,9253.56,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 21:00:00,2019-01-02 21:00:00,2019-01-02 21:29:59,8946.84,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 21:30:00,2019-01-02 21:30:00,2019-01-02 21:59:59,8820.49,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 22:00:00,2019-01-02 22:00:00,2019-01-02 22:29:59,8444.44,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 22:30:00,2019-01-02 22:30:00,2019-01-02 22:59:59,8325.25,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 23:00:00,2019-01-02 23:00:00,2019-01-02 23:29:59,8043.19,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-02 23:30:00,2019-01-02 23:30:00,2019-01-02 23:59:59,7845.51,1,0,294.54,302.04,9.8,64.0,1013.0,294.95,299.17,[]
2019-01-03 00:00:00,2019-01-03 00:00:00,2019-01-03 00:29:59,7667.46,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 00:30:00,2019-01-03 00:30:00,2019-01-03 00:59:59,7422.27,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 01:00:00,2019-01-03 01:00:00,2019-01-03 01:29:59,7222.76,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 01:30:00,2019-01-03 01:30:00,2019-01-03 01:59:59,6955.24,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 02:00:00,2019-01-03 02:00:00,2019-01-03 02:29:59,6726.25,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 02:30:00,2019-01-03 02:30:00,2019-01-03 02:59:59,6619.08,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 03:00:00,2019-01-03 03:00:00,2019-01-03 03:29:59,6569.36,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 03:30:00,2019-01-03 03:30:00,2019-01-03 03:59:59,6529.21,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 04:00:00,2019-01-03 04:00:00,2019-01-03 04:29:59,6522.65,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 04:30:00,2019-01-03 04:30:00,2019-01-03 04:59:59,6625.18,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 05:00:00,2019-01-03 05:00:00,2019-01-03 05:29:59,6721.64,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 05:30:00,2019-01-03 05:30:00,2019-01-03 05:59:59,6987.92,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 06:00:00,2019-01-03 06:00:00,2019-01-03 06:29:59,7206.49,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,"[{""text"": ""Long summer school holidays in NSW (Sydneysiders) with children spending extended time at home, increasing use of home pools, home theatres and cooling, driving higher daytime residential electricity demand."", ""category"": ""Soc_Calendar"", ""scope"": ""State_Wide"", ""type"": ""Fact"", ""relevance_score"": 5, ""publication_time"": ""2019-01-03 06:16:00"", ""justification"": ""Article explicitly references Sydneysiders and the long summer break keeping kids at home with pool, theatre and cooling features — a deterministic calendar effect that raises residential daytime/peak cooling and appliance load.""}]"
2019-01-03 06:30:00,2019-01-03 06:30:00,2019-01-03 06:59:59,7525.7,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 07:00:00,2019-01-03 07:00:00,2019-01-03 07:29:59,7877.83,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 07:30:00,2019-01-03 07:30:00,2019-01-03 07:59:59,8157.31,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 08:00:00,2019-01-03 08:00:00,2019-01-03 08:29:59,8338.14,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
2019-01-03 08:30:00,2019-01-03 08:30:00,2019-01-03 08:59:59,8538.89,1,0,293.03,306.13,9.8,69.0,1013.0,293.23,299.25,[]
